Element1,Element2,Element3,Element4,afm,lat,sws0,sws_init,mag,B0,TC
Ti,Mn,V,Te,0,0,3.0649922,3.151967789493332,0.0684343475,88.50747,45.7745276
Ti,Mn,V,W,1,0,2.8694715,2.8852426653828047,3.60763595e-06,170.28658,37.4909462672
Ti,Mn,V,Zn,1,0,2.8211927,2.874868355533508,0.00050457097987,106.83774,5.269041641599999
Ti,Mn,W,Au,0,0,2.8837707,2.9340878499359526,0.039485054946,171.39778,8.865796
Ti,Mn,Zn,Ag,0,1,2.951641,2.925360959661832,0.067835361503,98.41316,21.7002868
Ti,Mn,Zn,As,0,0,2.919262,2.993821997013244,0.0684638300173,85.09761,21.800871200000003
Ti,Mn,Zn,Au,0,1,2.9019928,2.9240578569469347,0.093427140638,130.83247,19.99181936
Ti,Mn,Zn,Bi,0,0,3.2504842,3.189004626694464,0.529539422,80.14849,115.768024
Ti,Mn,Zn,Cd,0,1,3.0022197,2.9948165727710125,0.06297232895,83.59303,28.5192216
Ti,Mn,Zn,Co,0,0,2.8514647,2.8289305439472923,0.0276005869083,114.306725,61.508448
Ti,Mn,Zn,Cr,1,0,2.7923584,2.843948998210619,0.00042839410551,110.41395,5.337458385600001
Ti,Mn,Zn,Cu,0,0,2.898615,2.840720433668516,0.02403919183516,106.95505,7.797259400000001
Ti,Mn,Zn,Fe,0,0,2.8569822,2.8401678073154413,0.01065277944,107.45946,67.95391400000001
Ti,Mn,Zn,Ga,0,0,2.8864136,2.964940723223432,0.0619923144097,84.19084,13.86537856
Ti,Mn,Zn,Ge,0,0,2.9721327,3.010640740886728,0.0751808156899,79.216515,19.678201200000004
Ti,Mn,Zn,Hg,0,1,3.0604722,3.02166828882036,0.250952814,80.812035,72.824116
Ti,Mn,Zn,In,0,1,3.0345843,3.0611918584239355,0.0859233998,78.26781,41.282058000000006
Ti,Mn,Zn,Ir,0,0,2.9675298,2.8791507683516686,0.080408061121,81.85548,30.6095292
Ti,Mn,Zn,Mo,0,0,2.9079723,2.902175134540445,0.05586180584832,125.08098,23.373605800000004
Ti,Mn,Zn,Ni,1,0,2.7901175,2.826253769605502,0.00183299040346,108.73171,2.55939548
Ti,Mn,Zn,Os,0,0,2.9304872,2.8769168855779754,0.0725751517471,79.37072,15.0066414
Ti,Mn,Zn,Pb,0,0,3.0864725,3.120463227291101,0.5050179130000001,82.565834,145.946844
Ti,Mn,Zn,Pd,0,1,2.914734,2.8886664317585824,0.08558206844682,117.20952,22.2002146
Ti,Mn,Zn,Pt,0,1,2.9042006,2.8943990916919984,0.089040088704,131.4938,36.0664
Ti,Mn,Zn,Re,0,0,2.8616538,2.888158729330053,0.07169486271695,155.03392,11.9373064
Ti,Mn,Zn,Rh,0,0,2.8818603,2.872897935887081,0.0626976592826,166.21265,24.314309200000004
Ti,Mn,Zn,Ru,0,0,2.8888865,2.8698154250050902,0.07259116184495,131.85919,28.2852512
Ti,Mn,Zn,Sb,0,1,3.0918138,3.119088936957761,0.137433052,75.50817,46.4675168
Ti,Mn,Zn,Si,0,0,2.970084,2.971519605550214,0.06411061390111,99.63283,11.983449600000002
Ti,Mn,Zn,Sn,0,1,3.0689278,3.0746924846338195,0.269435712,80.913666,71.37974360000001
Ti,Mn,Zn,Tc,0,0,2.9745178,2.882132843053596,0.05293813299736,79.643074,21.4716328
Ti,Mn,Zn,Te,0,1,3.1326385,3.169818001104655,0.244779882,68.850006,78.78254400000002
Ti,Mn,Zn,W,0,0,2.87162,2.9065094674331062,0.0673802922568,148.41443,12.3040847
Ti,Nb,Al,Co,0,0,2.8925054,2.9441783321855217,0.01997378094,129.50125,42.78595920000001
Ti,Nb,Al,Cr,1,0,2.9297528,2.95805228539306,3.285787821e-05,124.00128,5.41053481712
Ti,Nb,Al,Fe,0,0,2.89606,2.954557696113562,0.02722251118,125.68158,101.9597776
Ti,Nb,Al,Ni,1,0,2.9154139,2.941707281463124,0.00012414879628,125.80855,1.95357206632
Ti,Nb,Cd,Co,0,0,3.0052838,3.019395860876221,0.02071712652,123.74334,62.69459
Ti,Nb,Cd,Fe,0,0,2.9900541,3.029267061072752,0.130462515,120.5604,281.3509
Ti,Nb,Cd,Ni,1,0,3.009241,3.017046535455946,0.00066004950722,117.561325,2.18349739056
Ti,Nb,Co,Ag,0,0,2.9039683,2.951106017270157,0.117310986,144.25615,183.949686
Ti,Nb,Co,As,0,0,3.0005267,3.01841741970468,0.0717673308,119.67918,48.9952188
Ti,Nb,Co,Au,0,0,2.9307714,2.9498255663786326,0.274399742,155.24852,256.968868
Ti,Nb,Co,Bi,0,0,3.1255045,3.2107119412882765,0.377044241,114.76746,201.32741400000003
Ti,Nb,Co,Cu,0,0,2.880443,2.868000679931808,0.025667978555,149.17021,67.48617
Ti,Nb,Co,Ge,0,0,3.0104299,3.0349654244138726,0.0827940044999999,115.307816,53.491088
Ti,Nb,Co,Hg,0,0,3.0027246,3.045817856828139,0.274665044,117.06684,248.205488
Ti,Nb,Co,Ir,0,0,2.9865513,2.905717567694313,0.3496361679999999,115.32793,273.66003800000004
Ti,Nb,Co,Mo,0,0,2.914227,2.9283277008587647,0.0582653776772,155.85536,100.804686
Ti,Nb,Co,Ni,0,0,2.9328866,2.853809975430112,0.0930780026,150.13237,147.8267712
Ti,Nb,Co,Os,0,0,2.937927,2.903524392988041,0.253807399,122.99229,284.1033
Ti,Nb,Co,Pb,0,0,3.0731559,3.1431243303602017,0.354267664,113.862404,238.36025400000003
Ti,Nb,Co,Pd,0,0,2.9109387,2.9150608599241314,0.248933817,150.3449,278.22865
Ti,Nb,Co,Pt,0,0,2.9037216,2.920690477020326,0.270672308,165.23816,257.678972
Ti,Nb,Co,Re,0,0,2.8812394,2.914562312217946,0.0698783779999999,184.89505,93.345646
Ti,Nb,Co,Rh,0,0,2.8927662,2.899578914447237,0.0929286584,193.11938,155.48052800000002
Ti,Nb,Co,Ru,0,0,2.8926387,2.896552960013675,0.02944462316,173.32616,95.054166
Ti,Nb,Co,Sb,0,0,3.0739114,3.1417697979550208,0.147002886,119.667404,154.227728
Ti,Nb,Co,Si,0,0,2.8811822,2.996481008759192,0.097003456,142.50249,51.77418
Ti,Nb,Co,Sn,0,0,3.0408702,3.0980256834097184,0.13257283,123.72645,109.622006
Ti,Nb,Co,Tc,0,0,2.9435787,2.9086454441305807,0.024045548464,121.390076,80.87605200000002
Ti,Nb,Co,Te,0,0,3.1861615,3.191786188838904,0.298194394,110.6034,168.74169
Ti,Nb,Co,W,0,0,2.9073093,2.932585129088744,0.0250357809108,177.8629,105.90168400000002
Ti,Nb,Cr,Ag,1,0,2.9852595,2.9649153634259435,1.1794660400000002e-06,134.98557,15.16885343744
Ti,Nb,Cr,As,1,0,2.9425378,3.0316217479701484,1.2483729e-06,127.243286,6.77666661536
Ti,Nb,Cr,Au,1,0,2.9786377,2.9636468200352484,1.03370024e-06,156.04422,15.903640597440004
Ti,Nb,Cr,Bi,0,0,3.111139,3.2223905727378366,0.0797274242525,125.775215,7.53067016
Ti,Nb,Cr,Cd,1,0,3.0264578,3.0325916885266286,1.20560706e-06,121.581894,6.0652504948
Ti,Nb,Cr,Co,1,0,2.8424506,2.871168218372692,0.0003074314702,153.41563,34.7358080368
Ti,Nb,Cr,Cu,1,0,2.915195,2.8826158416118752,1.11510983e-06,138.919,9.13589518696
Ti,Nb,Cr,Fe,1,0,2.838997,2.8820791665533267,5.95877072e-06,154.89293,55.02680429536
Ti,Nb,Cr,Ga,1,0,2.92579,3.0034663579174223,1.17667582e-06,135.43126,3.01450962336
Ti,Nb,Cr,Ge,1,0,2.9679093,3.048027077502174,0.00102309618086,125.12786,5.79952104936
Ti,Nb,Cr,Hg,1,0,3.0340075,3.058787187959692,2.5421414800000003e-06,126.237,3.71460588816
Ti,Nb,Cr,In,1,0,3.0307684,3.0973751744318823,1.3529940300000002e-06,130.48605,4.28022187816
Ti,Nb,Cr,Ir,1,0,2.981587,2.919958546430061,1.62451742e-06,117.80386,16.32696012944
Ti,Nb,Cr,Mo,1,0,2.928792,2.9423511840003376,1.19051454e-06,158.53606,48.53992502824
Ti,Nb,Cr,Ni,1,0,2.86096,2.868569727700696,5.42508338e-06,150.68143,9.95394309032
Ti,Nb,Cr,Os,1,0,2.9680777,2.91778673618587,1.1301600299999998e-06,121.68547,20.0806042512
Ti,Nb,Cr,Pb,1,0,3.0956795,3.155307714479984,1.17984507e-05,118.53655,5.372128447040001
Ti,Nb,Cr,Pd,1,0,2.9338348,2.929211355607704,1.06170569e-06,160.64561,11.83646135232
Ti,Nb,Cr,Pt,1,0,2.952845,2.9347868676358364,1.05412151e-06,171.52705,22.84775965928
